actual_price,model_price
3280,4578.81
16999,17656.6
11350,19316.6
4000,5003.68
2895,2729.64
10800,11434.1
9495,11682.7
3150,3324.29
7500,8676.99
2695,2895.99
7675,7943.3
3895,4440.88
9500,9411.26
11800,15095.6
3450,3569.92
2795,2620.28
2495,2790.38
15300,17296.8
17199,17526
14400,14166.1
6745,6526.41
7387,7139.69
1795,2048.8
2490,3367.09
5385,7061.12
10000,9770.64
9495,9580.61
1989,1315.95
28990,24887.1
17950,17628
15059,13961.8
1495,1199.3
8495,9517.96
15490,13853.6
2895,3126.57
2895,5484.94
4973,5285.48
5995,8870.81
10597,11111
7140,8358.19
18490,19920.1
12799,12082.9
18490,19742.3
4999,6275.93
6895,7158.76
5600,4205.13
20990,19275.1
11490,15978.3
21577,20232.2
350,193.715
15545,18893.2
21490,15859.5
8250,6806.6
5680,5952.12
15300,17443.5
8500,7997.7
1490,293.673
25190,22152.7
9344,9323.86
1295,-892.794
14590,16443.3
795,1081.49
2500,3808.24
5149,4564.74
995,1137.05
16495,17501.3
1800,1052.76
790,-2765.81
15300,17281.8
9993,10311.7
6000,4252.79
8750,9833.23
8690,8478.57
5989,2934.28
7495,7632.75
300,-2866.9
2695,3067.11
8290,8324.71
23990,22635.6
499,-2986.76
9595,10144.1
11490,11201.9
9799,9206.86
1000,2168.17
26295,17750.6
5995,5751.75
893,-41.9001
1880,988.417
8650,10389.8
8000,8972.9
3695,5379.33
8299,8160.36
27790,25261.8
3995,5964.38
7350,7611.78
11499,8389.98
1495,2518.12
12995,12102.2
3995,4364.75
3895,2846.21
3999,4875.62
3995,5209.51
2189,1917.57
10495,10581.5
1995,3802.8
7500,7616.01
1795,2677.96
15490,16792.7
1150,3396.64
14300,12719.1
6300,6175.2
4490,4074.85
12788,10969.3
14480,13467.3
8500,8764.7
11250,11663.7
2999,1957.36
8750,8857.52
7775,7664.39
3395,3686.85
2995,5941.69
4980,8377.9
1495,-198.328
1395,1952.49
8995,9215.82
1190,-977.532
13485,12168.5
9500,11127.6
680,-430.803
15422,19752.1
1200,4511.78
6995,5775.93
13349,18849.8
2470,1794.49
17500,18578.7
8611,8830.86
22480,19314
1399,2183.84
4295,6168.78
26490,22212.2
1250,103.9
14390,18963.5
995,-654.259
4990,5234.19
7350,6624.08
11999,12295
750,-779.213
26695,20764.5
3199,4020.29
1050,1047.66
9490,10626.5
2485,608.982
1500,2265.67
4590,7127.68
3795,2716.26
6895,7509.71
7990,8284.35
2999,4738.4
7450,8617.74
2375,2146.53
9995,18861.6
5989,7223.75
8099,8100.82
11490,11286.8
1195,984.301
5695,7610.02
12990,10396.5
2000,2358.3
9970,9688.28
4695,3382.36
2495,3607.07
5990,7226.96
5490,8295.39
5980,6715.4
15000,12957.1
8705,10797.5
2990,5477.25
9499,9526.82
14995,12942.9
1390,2422
895,-1839.21
5275,5315.55
16999,19846.9
2995,2870.78
19950,17071.5
7500,6859.74
11890,11707.5
2290,1198.37
5500,5402.53
799,-2205.68
12795,12906
2650,5552.17
5900,7654.65
5375,5465.35
12750,11746.7
390,-1607.39
1980,4558.65
3995,3772.02
23250,20747.4
17495,15641.5
15790,16813.6
785,-1221.05
6890,9189.11
895,-5192.02
7500,8677.25
15000,16781.5
17895,18066.6
2050,2529.68
1390,3767.77
24130,20734.9
3195,4918.22
40995,22376.1
10674,10299.6
8990,8468.15
4195,6063.75
11970,12287.2
2975,7098.7
6695,8855.75
14995,18862.8
